label,score,system_verdict,title_a,title_b,starts_a,starts_b,venue_a,venue_b,source_a,source_b,fingerprint_a,fingerprint_b
,0.89,merge,Das Spiel ist aus,Das Spiel ist aus,2026-07-03T20:00:00+02:00,2026-07-03T20:00:00+02:00,Musiktheater,BlackBox Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-03|,spiel ist aus|2026-07-03|9660:1900
,0.89,merge,Das Spiel ist aus,Das Spiel ist aus,2026-07-06T20:00:00+02:00,2026-07-06T20:00:00+02:00,Musiktheater,BlackBox Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-06|,spiel ist aus|2026-07-06|9660:1900
,0.89,merge,Rodericks Geschichtenkiste,Rodericks Geschichtenkiste,2026-07-08T16:30:00+02:00,2026-07-08T16:30:00+02:00,Stadtbibliothek Dornach-Auhof,Stadtbibliothek Dornach/Auhof,linztermine.at (open data XML),Stadtbibliothek Linz,rodericks geschichtenkiste|2026-07-08|,rodericks geschichtenkiste|2026-07-08|9658:1901
,0.89,merge,Führung durch die GRAND GARAGE,Führung durch die Grand Garage,2026-07-03T16:00:00+02:00,2026-07-03T16:00:00+02:00,GRAND GARAGE,GRAND GARAGE,linztermine.at (open data XML),Tabakfabrik Linz,fuehrung durch grand garage|2026-07-03|,fuehrung durch grand garage|2026-07-03|9664:1902
,0.89,merge,Führung durch die GRAND GARAGE,Führung durch die Grand Garage,2026-07-10T16:00:00+02:00,2026-07-10T16:00:00+02:00,GRAND GARAGE,GRAND GARAGE,linztermine.at (open data XML),Tabakfabrik Linz,fuehrung durch grand garage|2026-07-10|,fuehrung durch grand garage|2026-07-10|9664:1902
,0.89,merge,Serenaden: Neue Wiener Concert Schrammeln – Best of,SERENADEN: Neue Wiener Concert Schrammeln Best of,2026-07-14T20:00:00+02:00,2026-07-14T20:00:00+02:00,Landhaus,Arkadenhof Landhaus Linz,linztermine.at (open data XML),Brucknerhaus,serenaden neue wiener concert schrammeln best|2026-07-14|,serenaden neue wiener concert schrammeln best|2026-07-14|9662:1901
,0.89,merge,Serenaden: Schneeberger & Bakanic Quartett – Avanti Avanti,SERENADEN: Schneeberger & Bakanic Quartett Avanti Avanti,2026-07-07T20:00:00+02:00,2026-07-07T20:00:00+02:00,Landhaus,Arkadenhof Landhaus Linz,linztermine.at (open data XML),Brucknerhaus,serenaden schneeberger bakanic quartett avanti avanti|2026-07-07|,serenaden schneeberger bakanic quartett avanti avanti|2026-07-07|9662:1901
,0.876,merge,Schneeberger & Bakanic Quartett — Avanti Avanti (Serenaden),Serenaden: Schneeberger & Bakanic Quartett – Avanti Avanti,2026-07-07T20:00:00+02:00,2026-07-07T20:00:00+02:00,Arkadenhof Landhaus Linz,Landhaus,Brucknerhaus,linztermine.at (open data XML),schneeberger bakanic quartett avanti avanti serenaden|2026-07-07|9662:1901,serenaden schneeberger bakanic quartett avanti avanti|2026-07-07|
,0.868,merge,Neue Wiener Concert Schrammeln — Best of (Serenaden),Serenaden: Neue Wiener Concert Schrammeln – Best of,2026-07-14T20:00:00+02:00,2026-07-14T20:00:00+02:00,Arkadenhof Landhaus Linz,Landhaus,Brucknerhaus,linztermine.at (open data XML),neue wiener concert schrammeln best serenaden|2026-07-14|9662:1901,serenaden neue wiener concert schrammeln best|2026-07-14|
,0.817,merge,Schneeberger & Bakanic Quartett — Avanti Avanti,Serenaden: Schneeberger & Bakanic Quartett – Avanti Avanti,2026-07-07T20:00:00+02:00,2026-07-07T20:00:00+02:00,Arkadenhof Landhaus Linz,Landhaus,Brucknerhaus,linztermine.at (open data XML),schneeberger bakanic quartett avanti avanti|2026-07-07|9662:1901,serenaden schneeberger bakanic quartett avanti avanti|2026-07-07|
,0.801,merge,Neue Wiener Concert Schrammeln — Best of,Serenaden: Neue Wiener Concert Schrammeln – Best of,2026-07-14T20:00:00+02:00,2026-07-14T20:00:00+02:00,Arkadenhof Landhaus Linz,Landhaus,Brucknerhaus,linztermine.at (open data XML),neue wiener concert schrammeln best|2026-07-14|9662:1901,serenaden neue wiener concert schrammeln best|2026-07-14|
,0.798,adjudicate:same,Das Spiel ist aus (Tanz),Das Spiel ist aus,2026-07-06T20:00:00+02:00,2026-07-06T20:00:00+02:00,BlackBox Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),spiel ist aus tanz|2026-07-06|9660:1900,spiel ist aus|2026-07-06|
,0.792,adjudicate:different,Dienstagabend im Mariendom: Abendmeditation,Dienstagabend im Mariendom,2026-07-07T19:30:00+02:00,2026-07-07T19:30:00+02:00,"Mariendom Linz, Linz",Neuer Dom (Mariendom),Mariendom Linz,linztermine.at (open data XML),dienstagabend mariendom abendmeditation|2026-07-07|,dienstagabend mariendom|2026-07-07|
,0.792,adjudicate:different,Im Licht der Taschenlampen – nächtliche Domführung,Im Licht der Taschenlampen,2026-07-10T20:00:00+02:00,2026-07-10T20:00:00+02:00,Neuer Dom (Mariendom),"Mariendom Linz, Linz",linztermine.at (open data XML),Mariendom Linz,licht taschenlampen naechtliche domfuehrung|2026-07-10|,licht taschenlampen|2026-07-10|
,0.792,adjudicate:same,RE:CONNECT / MOTUS NATURALIS Abschlussperformances von Tanzclub & Spätbewegte,Re:Connect / Motus Naturalis,2026-07-10T18:00:00+02:00,2026-07-10T18:00:00+02:00,BlackBox Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),re connect motus naturalis abschlussperformances tanzclub spaetbewegte|2026-07-10|9660:1900,re connect motus naturalis|2026-07-10|
,0.792,adjudicate:same,RE:CONNECT / MOTUS NATURALIS Abschlussperformances von Tanzclub & Spätbewegte,Re:Connect / Motus Naturalis,2026-07-09T18:00:00+02:00,2026-07-09T18:00:00+02:00,BlackBox Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),re connect motus naturalis abschlussperformances tanzclub spaetbewegte|2026-07-09|9660:1900,re connect motus naturalis|2026-07-09|
,0.792,adjudicate:different,Geschichten für kleine Ohren - Mama Muh will rutschen,Geschichten für kleine Ohren,2026-07-14T16:00:00+02:00,2026-07-14T16:00:00+02:00,Stadtbibliothek Urfahr,Stadtbibliothek Urfahr,linztermine.at (open data XML),Stadtbibliothek Linz,geschichten kleine ohren mama muh will rutschen|2026-07-14|,geschichten kleine ohren|2026-07-14|9658:1901
,0.792,adjudicate:different,Würfelzauber & Spielespaß - Spielevormittag in der Bibliothek,Würfelzauber & Spielespaß,2026-07-14T09:00:00+02:00,2026-07-14T09:00:00+02:00,Stadtbibliothek Urfahr,Stadtbibliothek Urfahr,linztermine.at (open data XML),Stadtbibliothek Linz,wuerfelzauber spielespass spielevormittag bibliothek|2026-07-14|,wuerfelzauber spielespass|2026-07-14|9658:1901
,0.792,adjudicate:same,Lisa Eckhart »Ich war mal wer«,Lisa Eckhart,2026-07-03T20:00:00+02:00,2026-07-03T20:00:00+02:00,"Großer Saal, Brucknerhaus Linz",Brucknerhaus Linz,Brucknerhaus,linztermine.at (open data XML),lisa eckhart ich war mal wer|2026-07-03|9662:1901,lisa eckhart|2026-07-03|
,0.765,adjudicate:uncached,Open Sunday – voestalpine Open Space,OPEN SUNDAY voestalpine OPEN SPACE,2026-07-12T11:00:00+02:00,2026-07-12T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,open sunday voestalpine open space|2026-07-12|,open sunday voestalpine open space|2026-07-12|9661:1900
